期間,株式コード,終値
1997/10/12,7203,3930
1997/10/19,7203,3690
1997/10/26,7203,3350
1997/11/02,7203,3270
1997/11/09,7203,3290
1997/11/16,7203,3580
1997/11/23,7203,3680
1997/11/30,7203,3660
1997/12/07,7203,3630
1997/12/14,7203,3620
1997/12/21,7203,3680
1997/12/28,7203,3740
1998/01/04,7203,3700
1998/01/11,7203,3810
1998/01/18,7203,3640
1998/01/25,7203,3540
1998/02/01,7203,3450
1998/02/08,7203,3310
1998/02/15,7203,3360
1998/02/22,7203,3490
1998/03/01,7203,3500
1998/03/08,7203,3400
1998/03/15,7203,3370
1998/03/22,7203,3360
1998/03/29,7203,3380
1998/04/05,7203,3540
1998/04/12,7203,3410
1998/04/19,7203,3500
1998/04/26,7203,3440
1998/05/03,7203,3370
1998/05/10,7203,3410
1998/05/17,7203,3420
1998/05/24,7203,3430
1998/05/31,7203,3380
1998/06/07,7203,3480
1998/06/14,7203,3430
1998/06/21,7203,3430
1998/06/28,7203,3590
1998/07/05,7203,3460
1998/07/12,7203,3580
1998/07/19,7203,3530
1998/07/26,7203,3550
1998/08/02,7203,3480
1998/08/09,7203,3310
1998/08/16,7203,3290
1998/08/23,7203,2950
1998/08/30,7203,3000
1998/09/06,7203,2840
1998/09/13,7203,2810
1998/09/20,7203,2890
1998/09/27,7203,2960
1998/10/04,7203,2645
1998/10/11,7203,2980
1998/10/18,7203,2875
1998/10/25,7203,2800
1998/11/01,7203,3000
1998/11/08,7203,3020
1998/11/15,7203,3190
1998/11/22,7203,3260
1998/11/29,7203,2985
1998/12/06,7203,3060
1998/12/13,7203,3010
1998/12/20,7203,2940
1998/12/27,7203,3070
1999/01/03,7203,2850
1999/01/10,7203,2700
1999/01/17,7203,2845
1999/01/24,7203,3060
1999/01/31,7203,2970
1999/02/07,7203,3000
1999/02/14,7203,2990
1999/02/21,7203,3100
1999/02/28,7203,3200
1999/03/07,7203,3330
1999/03/14,7203,3360
1999/03/21,7203,3370
1999/03/28,7203,3720
1999/04/04,7203,3580
1999/04/11,7203,3630
1999/04/18,7203,3500
1999/04/25,7203,3390
1999/05/02,7203,3480
1999/05/09,7203,3380
1999/05/16,7203,3330
1999/05/23,7203,3300
1999/05/30,7203,3430
1999/06/06,7203,3680
1999/06/13,7203,3630
1999/06/20,7203,3750
1999/06/27,7203,3990
1999/07/04,7203,3970
1999/07/11,7203,4030
1999/07/18,7203,3800
1999/07/25,7203,4040
1999/08/01,7203,3810
1999/08/08,7203,3740
1999/08/15,7203,3820
1999/08/22,7203,3530
1999/08/29,7203,3460
1999/09/05,7203,3400
1999/09/12,7203,3600
1999/09/19,7203,3290
1999/09/26,7203,3480
1999/10/03,7203,3660
1999/10/10,7203,3520
1999/10/17,7203,3580
1999/10/24,7203,3610
1999/10/31,7203,3660
1999/11/07,7203,3510
1999/11/14,7203,3750
1999/11/21,7203,3680
1999/11/28,7203,3520
1999/12/05,7203,3700
1999/12/12,7203,4720
1999/12/19,7203,4670
1999/12/26,7203,4950
2000/01/02,7203,4430
2000/01/09,7203,4630
2000/01/16,7203,4520
2000/01/23,7203,4600
2000/01/30,7203,4800
2000/02/06,7203,4790
2000/02/13,7203,4690
2000/02/20,7203,4540
2000/02/27,7203,4350
2000/03/05,7203,4820
2000/03/12,7203,4890
2000/03/19,7203,5110
2000/03/26,7203,5370
2000/04/02,7203,5130
2000/04/09,7203,5640
2000/04/16,7203,5640
2000/04/23,7203,5370
2000/04/30,7203,5560
2000/05/07,7203,5350
2000/05/14,7203,5240
2000/05/21,7203,5010
2000/05/28,7203,4970
2000/06/04,7203,5010
2000/06/11,7203,4450
2000/06/18,7203,4660
2000/06/25,7203,4830
2000/07/02,7203,4780
2000/07/09,7203,4840
2000/07/16,7203,4510
2000/07/23,7203,4590
2000/07/30,7203,4670
2000/08/06,7203,4710
2000/08/13,7203,4570
2000/08/20,7203,4620
2000/08/27,7203,4660
2000/09/03,7203,4410
2000/09/10,7203,4240
2000/09/17,7203,4050
2000/09/24,7203,4270
2000/10/01,7203,4460
2000/10/08,7203,4300
2000/10/15,7203,4360
2000/10/22,7203,4360
2000/10/29,7203,4320
2000/11/05,7203,4470
2000/11/12,7203,4070
2000/11/19,7203,3960
2000/11/26,7203,4000
2000/12/03,7203,3770
2000/12/10,7203,3920
2000/12/17,7203,3650
2000/12/24,7203,3650
2000/12/31,7203,3810
2001/01/07,7203,3440
2001/01/14,7203,3950
2001/01/21,7203,3850
2001/01/28,7203,3940
2001/02/04,7203,3950
2001/02/11,7203,4020
2001/02/18,7203,4040
2001/02/25,7203,3930
2001/03/04,7203,4130
2001/03/11,7203,4180
2001/03/18,7203,4520
2001/03/25,7203,4350
2001/04/01,7203,4300
2001/04/08,7203,4090
2001/04/15,7203,4070
2001/04/22,7203,4110
2001/04/29,7203,4260
2001/05/06,7203,4110
2001/05/13,7203,4190
2001/05/20,7203,4270
2001/05/27,7203,4140
2001/06/03,7203,4110
2001/06/10,7203,4170
2001/06/17,7203,4300
2001/06/24,7203,4390
2001/07/01,7203,4330
2001/07/08,7203,4280
2001/07/15,7203,4190
2001/07/22,7203,4120
2001/07/29,7203,4070
2001/08/05,7203,4010
2001/08/12,7203,3830
2001/08/19,7203,3840
2001/08/26,7203,3610
2001/09/02,7203,3700
2001/09/09,7203,3200
2001/09/16,7203,2760
2001/09/23,7203,3060
2001/09/30,7203,3400
2001/10/07,7203,3250
2001/10/14,7203,3020
2001/10/21,7203,3040
2001/10/28,7203,3040
2001/11/04,7203,3120
2001/11/11,7203,3020
2001/11/18,7203,3260
2001/11/25,7203,3150
2001/12/02,7203,3150
2001/12/09,7203,3020
2001/12/16,7203,3120
2001/12/23,7203,3320
2001/12/30,7203,3490
2002/01/06,7203,3550
2002/01/13,7203,3520
2002/01/20,7203,3600
2002/01/27,7203,3490
2002/02/03,7203,3400
2002/02/10,7203,3530
2002/02/17,7203,3490
2002/02/24,7203,3450
2002/03/03,7203,3670
2002/03/10,7203,3820
2002/03/17,7203,3760
2002/03/24,7203,3650
2002/03/31,7203,3700
2002/04/07,7203,3580
2002/04/14,7203,3660
2002/04/21,7203,3540
2002/04/28,7203,3470
2002/05/05,7203,3510
2002/05/12,7203,3580
2002/05/19,7203,3530
2002/05/26,7203,3390
2002/06/02,7203,3290
2002/06/09,7203,3170
2002/06/16,7203,3050
2002/06/23,7203,3180
2002/06/30,7203,3080
2002/07/07,7203,2995
2002/07/14,7203,2955
2002/07/21,7203,2760
2002/07/28,7203,2910
2002/08/04,7203,3140
2002/08/11,7203,2905
2002/08/18,7203,3020
2002/08/25,7203,2935
2002/09/01,7203,2875
2002/09/08,7203,2965
2002/09/15,7203,3170
2002/09/22,7203,3240
2002/09/29,7203,3080
2002/10/06,7203,2920
2002/10/13,7203,3130
2002/10/20,7203,3160
2002/10/27,7203,3110
2002/11/03,7203,3140
2002/11/10,7203,3180
2002/11/17,7203,3140
2002/11/24,7203,3220
2002/12/01,7203,3180
2002/12/08,7203,3130
2002/12/15,7203,3070
2002/12/22,7203,3170
2002/12/29,7203,3190
2003/01/05,7203,3140
2003/01/12,7203,3060
2003/01/19,7203,2985
2003/01/26,7203,2855
2003/02/02,7203,2975
2003/02/09,7203,2975
2003/02/16,7203,2885
2003/02/23,7203,2775
2003/03/02,7203,2785
2003/03/09,7203,2740
2003/03/16,7203,2840
2003/03/23,7203,2805
2003/03/30,7203,2635
2003/04/06,7203,2500
2003/04/13,7203,2610
2003/04/20,7203,2570
2003/04/27,7203,2680
2003/05/04,7203,2755
2003/05/11,7203,2670
2003/05/18,7203,2675
2003/05/25,7203,2860
2003/06/01,7203,3020
2003/06/08,7203,3080
2003/06/15,7203,3160
2003/06/22,7203,3130
2003/06/29,7203,3250
2003/07/06,7203,3270
2003/07/13,7203,3110
2003/07/20,7203,3110
2003/07/27,7203,3040
2003/08/03,7203,3050
2003/08/10,7203,3280
2003/08/17,7203,3300
2003/08/24,7203,3220
2003/08/31,7203,3480
2003/09/07,7203,3670
2003/09/14,7203,3700
2003/09/21,7203,3390
2003/09/28,7203,3400
2003/10/05,7203,3410
2003/10/12,7203,3380
2003/10/19,7203,3220
2003/10/26,7203,3130
2003/11/02,7203,3450
2003/11/09,7203,3360
2003/11/16,7203,3200
2003/11/23,7203,3290
2003/11/30,7203,3450
2003/12/07,7203,3560
2003/12/14,7203,3640
2003/12/21,7203,3600
2003/12/28,7203,3620
2004/01/04,7203,3710
2004/01/11,7203,3630
2004/01/18,7203,3670
2004/01/25,7203,3460
2004/02/01,7203,3550
2004/02/08,7203,3580
2004/02/15,7203,3720
2004/02/22,7203,3770
2004/02/29,7203,3920
2004/03/07,7203,3860
2004/03/14,7203,3760
2004/03/21,7203,3840
2004/03/28,7203,3780
2004/04/04,7203,3900
2004/04/11,7203,3920
2004/04/18,7203,4110
2004/04/25,7203,3990
2004/05/02,7203,3860
2004/05/09,7203,3890
2004/05/16,7203,3890
2004/05/23,7203,4000
2004/05/30,7203,4060
2004/06/06,7203,4160
2004/06/13,7203,4280
2004/06/20,7203,4300
2004/06/27,7203,4410
2004/07/04,7203,4240
2004/07/11,7203,4320
2004/07/18,7203,4270
2004/07/25,7203,4480
2004/08/01,7203,4160
2004/08/08,7203,4140
2004/08/15,7203,4130
2004/08/22,7203,4390
2004/08/29,7203,4210
2004/09/05,7203,4220
2004/09/12,7203,4190
2004/09/19,7203,4150
2004/09/26,7203,4210
2004/10/03,7203,4300
2004/10/10,7203,4110
2004/10/17,7203,4060
2004/10/24,7203,4130
2004/10/31,7203,4140
2004/11/07,7203,4110
2004/11/14,7203,4020
2004/11/21,7203,3910
2004/11/28,7203,3900
2004/12/05,7203,3850
2004/12/12,7203,4040
2004/12/19,7203,4120
2004/12/26,7203,4170
2005/01/02,7203,4150
2005/01/09,7203,4150
2005/01/16,7203,4060
2005/01/23,7203,3980
2005/01/30,7203,4050
2005/02/06,7203,4160
2005/02/13,7203,4170
2005/02/20,7203,4040
2005/02/27,7203,4090
2005/03/06,7203,4100
2005/03/13,7203,4010
2005/03/20,7203,4030
2005/03/27,7203,4020
2005/04/03,7203,4120
2005/04/10,7203,3960
2005/04/17,7203,3850
2005/04/24,7203,3840
2005/05/01,7203,3930
2005/05/08,7203,3830
2005/05/15,7203,3890
2005/05/22,7203,3900
2005/05/29,7203,3890
2005/06/05,7203,3830
2005/06/12,7203,3950
2005/06/19,7203,3940
2005/06/26,7203,4010
2005/07/03,7203,4070
2005/07/10,7203,4190
2005/07/17,7203,4190
2005/07/24,7203,4250
2005/07/31,7203,4170
2005/08/07,7203,4380
2005/08/14,7203,4360
2005/08/21,7203,4540
2005/08/28,7203,4500
2005/09/04,7203,4620
2005/09/11,7203,4760
2005/09/18,7203,4800
2005/09/25,7203,5200
2005/10/02,7203,5100
2005/10/09,7203,5220
2005/10/16,7203,5020
2005/10/23,7203,5200
